PIPE_DESC,PIPE_INACT,PIPE_INA_1,COUNTY_NAM,NAME_1,LAT_DEC,LON_CONV
TAYLOR STREET WEST,A,,COOK,CHICAGO CSOS,41.869722,-87.635278
THIRD,A,,KANE,AURORA CSOS,41.748056,-88.327222
THIRD AVENUE CHAMBER EAST,A,,WILL,JOLIET EAST STP,41.518889,-88.069167
THORNDALE AVENUE WEST,A,,COOK,CHICAGO CSOS,41.988333,-87.708611
THROOP STREET,A,,COOK,MWRDGC CALUMET WRP,41.656667,-87.653611
THROOP STREET NORTH,A,,COOK,CHICAGO CSOS,41.848056,-87.658333
THROOP STREET NORTH,A,,COOK,CHICAGO CSOS,41.656667,-87.652222
THROOP STREET SOUTH,A,,COOK,CHICAGO CSOS,41.8475,-87.657778
TORRENCE AVENUE NORTH,A,,COOK,CHICAGO CSOS,41.669722,-87.559722
TORRENCE AVENUE NORTH,A,,COOK,CHICAGO CSOS,41.644722,-87.56
"TOUHY AVE (E) 96""",A,,COOK,PARK RIDGE CSOS,41.994444,-87.858333
TOUHY AVENUE,A,,COOK,PARK RIDGE CSOS,42.011111,-87.861111
TOUHY AVENUE EAST,A,,COOK,CHICAGO CSOS,42.011944,-87.71
TRASK-DEARBORN,A,,KANE,AURORA CSOS,41.768611,-88.271944
TRI-STATE TOLLWAY,A,,COOK,MWRDGC STICKNEY WRP,41.747778,-87.860278
TROY STREET SOUTH,A,,COOK,CHICAGO CSOS,42.011944,-87.71
TRUMBULL AVENUE NORTH,A,,COOK,CHICAGO CSOS,41.971944,-87.714444
UNION AVENUE NORTH,A,,COOK,CHICAGO CSOS,41.849722,-87.644167
UNION AVENUE PUMP STATION,A,,COOK,RIVERDALE CSOS,47.627778,-87.633333
UNION STREET,A,,COOK,HARVEY CSOS,41.629167,-87.638889
VAN BUREN STREET CHAMBER,A,,WILL,JOLIET EAST STP,41.525833,-88.084444
VAN BUREN STREET EAST,A,,COOK,CHICAGO CSOS,41.868333,-87.636944
WABASH AVE. SOUTH,A,,COOK,CHICAGO CSOS,41.887778,-87.626389
WALLACE STREET CHAMBER,A,,WILL,JOLIET EAST STP,41.519444,-88.088056
WALLACE STREET SOUTH,A,,COOK,CHICAGO CSOS,41.849722,-87.641944
WALNUT AVE. BASIN OVERFLOW,A,,KANE,ELGIN CSOS,42.029167,-88.28
WALNUT AVENUE BASIN,A,,KANE,FOX RIVER WRD SOUTH STP,42.029167,-88.279722
WALNUT STREET,A,,DU PAGE,HINSDALE CSO,41.806111,-87.921111
WASHINGTON STREET CHAMBER,A,,WILL,JOLIET EAST STP,41.523611,-88.087222
WASHINGTON STREET EAST,A,,COOK,CHICAGO CSOS,41.883056,-87.638056
WASHINGTON STREET WEST,A,,COOK,CHICAGO CSOS,41.883056,-87.638611
WEBSTER AVENUE EAST,A,,COOK,CHICAGO CSOS,41.921667,-87.666111
WELLINGTON AVENUE BASIN,A,,KANE,FOX RIVER WRD SOUTH STP,42.021389,-88.274722
WELLINGTON AVENUE BYPASS,A,,KANE,FOX RIVER WRD SOUTH STP,42.021389,-88.274722
WELLS STREET NORTH,A,,COOK,CHICAGO CSOS,41.888056,-87.633889
WELLS STREET SOUTH,A,,COOK,CHICAGO CSOS,41.887222,-87.633889
WENTWORTH AVENUE NORTH,A,,COOK,CHICAGO CSOS,41.660556,-87.626389
WEST BENTON,A,,KANE,AURORA CSOS,41.756389,-88.318056
WEST GALENA,A,,KANE,AURORA CSOS,41.758889,-88.315556
WEST ILLINOIS,A,,KANE,AURORA CSOS,41.770556,-88.310556
WEST PARK (FORMERLY ELM),A,,KANE,AURORA CSOS,41.760556,-88.313889
WESTCHESTER PUMP STATION,A,,COOK,MWRDGC STICKNEY WRP,41.816944,-87.773611
WESTERN AVENUE,A,,COOK,MWRDGC CALUMET WRP,41.6625,-87.61
WESTERN AVENUE EAST,A,,COOK,CHICAGO CSOS,41.936111,-87.687778
WESTERN AVENUE SOUTH,A,,COOK,CHICAGO CSOS,41.837222,-87.685
WHITNEY STREET CHAMBER,A,,WILL,JOLIET EAST STP,41.519444,-88.069167
WILDWOOD,A,,DU PAGE,VILLA PARK WET WEATHER STP,41.888056,-87.961111
WILDWOOD AVENUE EAST,A,,COOK,CHICAGO CSOS,42.003056,-87.780278
WILSON AVENUE EAST,A,,COOK,CHICAGO CSOS,41.964722,-87.696667
WILSON AVENUE EAST,A,,COOK,CHICAGO CSOS,41.962778,-87.853333
WILSON AVENUE WEST,A,,COOK,CHICAGO CSOS,41.964722,-87.6975
WOOD STREET NORTH,A,,COOK,CHICAGO CSOS,41.844167,-87.670833
WOODLAWN & EDGEWOOD,A,,COOK,LAGRANGE PARK CSOS,40.826111,-87.886389
WOODLAWN & EDGEWOOD,A,,COOK,LAGRANGE PARK CSOS,40.826111,-87.886389
WOODVIEW AVENUE,A,,COOK,CALUMET CITY CSOS,41.594444,-87.545833
WRP TARP BYPASS,A,,COOK,MWRDGC CALUMET WRP,41.6625,-87.619167
