Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2
1904,DFSS_AgencySiteLies_2012.csv,Abraham Lincoln Center Abraham-Lincoln,3858 S. Cottage Grove ,60654,2851390,,,,,,,Abraham Lincoln Center,,,,,,,,,,,www.abelink.org,Zirl Smith,Rosalyn Lee,,,,,,
1905,DFSS_AgencySiteLies_2012.csv,Abraham Lincoln Center Lincoln Roseland,7 E. 119th St. ,60628,2647633,,,,,,,Abraham Lincoln Center,,,,,,,,,,,www.abelink.org,Zirl Smith,Barbara Woods,,,,,,
1906,DFSS_AgencySiteLies_2012.csv,Abraham Lincoln Center Lincoln/King,4314 S. Cottage Grove ,60653,7472310,,,,,,,Abraham Lincoln Center,,,,,,,,,,,www.abelink.org,Zirl Smith,Keita King,,,,,,
1907,DFSS_AgencySiteLies_2012.csv,"Ada S. McKinley
Community Services Albany Location",5954 S Albany ,60629,7377810,,,,,,,"Ada S. McKinley
Community Services",,,,,,,,,,,www.adasmckinley.org,"George Jones, Jr.",Mildred Burnside,,,,,,
1908,DFSS_AgencySiteLies_2012.csv,"Ada S. McKinley
Community Services Children's Center (Halsted)",12803 S Halsted ,60628,2645171,,,,,,,"Ada S. McKinley
Community Services",,,,,,,,,,,www.adasmckinley.org,"George Jones, Jr.",Rosalyn Patton,,,,,,
1909,DFSS_AgencySiteLies_2012.csv,"Ada S. McKinley
Community Services Little Genius",11439 S Michigan Ave. ,60628,6298091,,,,,,,"Ada S. McKinley
Community Services",,,,,,,,,,,www.adasmckinley.org,"George Jones, Jr.",Vera Webbs,,,,,,
1910,DFSS_AgencySiteLies_2012.csv,"Ada S. McKinley
Community Services Little Hands",7146 S Ashland Ave. ,60636,4710662,,,,,,,"Ada S. McKinley
Community Services",,,,,,,,,,,www.adasmckinley.org,"George Jones, Jr.",Lafredia Hobson,,,,,,
1911,DFSS_AgencySiteLies_2012.csv,"Ada S. McKinley
Community Services McKinley-Ersula Howard",7222 S. Exchange ,60649,2219711,,,,,,,"Ada S. McKinley
Community Services",,,,,,,,,,,www.adasmckinley.org,"George Jones, Jr.",Joni Rudds,,,,,,
1912,DFSS_AgencySiteLies_2012.csv,"Ada S. McKinley
Community Services McKinley-Maggie Drummond",4301 S. Wabash ,60653,3738200,,,,,,,"Ada S. McKinley
Community Services",,,,,,,,,,,www.adasmckinley.org,"George Jones, Jr.",Lyris Clark,,,,,,
1913,DFSS_AgencySiteLies_2012.csv,"Ada S. McKinley
Community Services McKinley-Roseland",11410 S. Edbrooke ,60628,4681918,,,,,,,"Ada S. McKinley
Community Services",,,,,,,,,,,www.adasmckinley.org,"George Jones, Jr.",Anna Luna,,,,,,
1914,DFSS_AgencySiteLies_2012.csv,"Ada S. McKinley
Community Services McKinley-Trumbull Park",10530 S. Oglesby ,60617,9785341,,,,,,,"Ada S. McKinley
Community Services",,,,,,,,,,,www.adasmckinley.org,"George Jones, Jr.",Damita Collins,,,,,,
1915,DFSS_AgencySiteLies_2012.csv,"Ada S. McKinley
Community Services McKinley-Wright Renaissance",7939 S. Western ,60620,4768805,,,,,,,"Ada S. McKinley
Community Services",,,,,,,,,,,www.adasmckinley.org,"George Jones, Jr.",Corllis Wright,,,,,,
1916,DFSS_AgencySiteLies_2012.csv,"Ada S. McKinley
Community Services Montessori Academy",11025 S Halsted Ave. ,60628,2810069,,,,,,,"Ada S. McKinley
Community Services",,,,,,,,,,,www.adasmckinley.org,"George Jones, Jr.",Gloria Walker,,,,,,
1917,DFSS_AgencySiteLies_2012.csv,"Ada S. McKinley
Community Services Stepping Stones CCC",1300 E 75th St. ,60619,4930000,,,,,,,"Ada S. McKinley
Community Services",,,,,,,,,,,www.adasmckinley.org,"George Jones, Jr.",Dr. Nelda Jones,,,,,,
1918,DFSS_AgencySiteLies_2012.csv,"Albany Park Community
Center Ainslie",3401 W. Ainslie ,60625,5395907,,,,,,,"Albany Park Community
Center",,,,,,,,,,,www.apcc-chgo.org,Harold Rice,John DeJulio,,,,,,
1919,DFSS_AgencySiteLies_2012.csv,"Albany Park Community
Center Kimball",5121 N. Kimball ,60625,5095657,,,,,,,"Albany Park Community
Center",,,,,,,,,,,www.apcc-chgo.org,Harold Rice,Eve Volin,,,,,,
1920,DFSS_AgencySiteLies_2012.csv,"Appeal for Charities and
Goodwill Appeals for Charities",50 W. 71st St ,60621,6515400,,,,,,,"Appeal for Charities and
Goodwill",,,,,,,,,,,,P.A. Onsei-Bonsu,Charlotte Osei-Bonsu,,,,,,
1921,DFSS_AgencySiteLies_2012.csv,BBF Family Services BBF Family Service,1512 S. Pulaski ,60623,2779582,,,,,,,BBF Family Services,,,,,,,,,,,www.betterboys.org,,,,,,,,
1922,DFSS_AgencySiteLies_2012.csv,Beacon Therapeutic Beacon Therapeutic,1912 W 103rd St ,60643,2981243,,,,,,,Beacon Therapeutic,,,,,,,,,,,www.beacon-therapeutic.org,Susan Reyna-Guerrero,Susan Reyna-Guerrero,,,,,,
1923,DFSS_AgencySiteLies_2012.csv,"Board Trustees-City
Colleges of Chicago Daley College",7500 S Pulaski Rd. ,60652,8387562,,,,,,,"Board Trustees-City
Colleges of Chicago",,,,,,,,,,,www.ccc.edu,Phyllis Daniels-Ward,Marcey Reyes,,,,,,
