Id,Source,Site name,Address,Zip,Phone,Fax,Program Name,Length of Day,IDHS Provider ID,Agency,Neighborhood,Funded Enrollment,Program Option,Number per Site EHS,Number per Site HS,Director,Head Start Fund,Eearly Head Start Fund,CC fund,Progmod,Website,Executive Director,Center Director,ECE Available Programs,NAEYC Valid Until,NAEYC Program Id,Email Address,Ounce of Prevention Description,Purple binder service type,Column,Column2
2292,ECE Chicago Find a School scrape.csv, A-Karrasel Nursery Sch,3030 N. Kedzie ,60618,4636151,,,,,,Avondale,,,,,,,,,,,,,CP,,,,,,,
2293,ECE Chicago Find a School scrape.csv, Addams,10810 Ave. H ,60617,5356210,,,,,,East Side,,,,,,,,,,,,,PFA-REG,,,,,,,
2294,ECE Chicago Find a School scrape.csv, Agassiz(Blended),2851 N. Seminary ,60657,5345725,,,,,,Lake View,,,,,,,,,,,,,PFA-REG,,,,,,,
2295,ECE Chicago Find a School scrape.csv, Agassiz(Blended),2851 N. Seminary ,60657,5345725,,,,,,Lake View,,,,,,,,,,,,,TB,,,,,,,
2296,ECE Chicago Find a School scrape.csv, Albany Park Comm Ctr,3401 W. Ainslie ,60625,5095657,,,,,,Albany Park,,,,,,,,,,,,,CP,,,,,,,
2297,ECE Chicago Find a School scrape.csv, Albany Park Comm Ctr. East,5101 N. Kimball ,60625,5835111,,,,,,North Park,,,,,,,,,,,,,CP,,,,,,,
2298,ECE Chicago Find a School scrape.csv, Alcott,2625 N. Orchard ,60614,5345460,,,,,,Lincoln Park,,,,,,,,,,,,,TB,,,,,,,
2299,ECE Chicago Find a School scrape.csv, Aldridge,630 E. 131St St. ,60627,5355614,,,,,,Riverdale,,,,,,,,,,,,,HS-FD,,,,,,,
2300,ECE Chicago Find a School scrape.csv, Altgeld,7007 S. Loomis ,60636,5353250,,,,,,West Englewood,,,,,,,,,,,,,HS-HD,,,,,,,
2301,ECE Chicago Find a School scrape.csv, Ariel Comm,1119 E. 46th St. ,60653,5351996,,,,,,Kenwood,,,,,,,,,,,,,PFA-REG,,,,,,,
2302,ECE Chicago Find a School scrape.csv, Armour,950 W. 33rd Place ,60608,5354530,,,,,,Bridgeport,,,,,,,,,,,,,PFA-REG,,,,,,,
2303,ECE Chicago Find a School scrape.csv, Armstrong,2110 W. Greenleaf ,60645,5342150,,,,,,West Ridge,,,,,,,,,,,,,PFA-REG,,,,,,,
2304,ECE Chicago Find a School scrape.csv, Ashburn School,8300 S. St. Louis ,60652,5357860,,,,,,Ashburn,,,,,,,,,,,,,PFA-REG,,,,,,,
2305,ECE Chicago Find a School scrape.csv, Attucks,5055 S. State St. ,60609,5351270,,,,,,Douglas,,,,,,,,,,,,,PFA-REG,,,,,,,
2306,ECE Chicago Find a School scrape.csv, Audubon,3500 N. Hoyne ,60618,5345470,,,,,,North Center,,,,,,,,,,,,,PFA-REG TS,,,,,,,
2307,ECE Chicago Find a School scrape.csv, Audubon,3500 N. Hoyne ,60618,5345470,,,,,,North Center,,,,,,,,,,,,,TB,,,,,,,
2308,ECE Chicago Find a School scrape.csv, Avalon Park,8045 S. Kenwood ,60619,5356615,,,,,,Avalon Park,,,,,,,,,,,,,PFA-REG,,,,,,,
2309,ECE Chicago Find a School scrape.csv, Avondale,2945 N. Sawyer ,60618,5345244,,,,,,Avondale,,,,,,,,,,,,,PFA-REG TS,,,,,,,
2310,ECE Chicago Find a School scrape.csv, B & G Club General R.E. Wood,2950 W. 25th St ,60623,7627383,,,,,,South Lawndale,,,,,,,,,,,,,CP,,,,,,,
2311,ECE Chicago Find a School scrape.csv, B & G Ida Mae Fletcher,3140 W Ogden ,60623,8475172,,,,,,North Lawndale,,,,,,,,,,,,,CP,,,,,,,
2312,ECE Chicago Find a School scrape.csv, B & G James Jordan,2102 W. Monroe ,60612,4324294,,,,,,Near West Side,,,,,,,,,,,,,CP,,,,,,,
2313,ECE Chicago Find a School scrape.csv, B & G John Yancey,6245 S. Wabash ,60637,3634733,,,,,,Washington Park,,,,,,,,,,,,,CP,,,,,,,
2314,ECE Chicago Find a School scrape.csv, Banneker,6656 S. Normal ,60621,5353020,,,,,,Englewood,,,,,,,,,,,,,PFA-REG,,,,,,,
2315,ECE Chicago Find a School scrape.csv, Barnard,10354 S. Charles St. ,60643,5352625,,,,,,Beverly,,,,,,,,,,,,,PFA-REG,,,,,,,
2316,ECE Chicago Find a School scrape.csv, Barry,4634 W. Diversey ,60641,5343455,,,,,,Hermosa,,,,,,,,,,,,,PFA-REG TS,,,,,,,
2317,ECE Chicago Find a School scrape.csv, Barton,7650 S. Wolcott Ave. ,60620,5353260,,,,,,Auburn Gresham,,,,,,,,,,,,,HS-FD,,,,,,,
2318,ECE Chicago Find a School scrape.csv, Bass,1140 W. 66th St. ,60621,5353275,,,,,,Englewood,,,,,,,,,,,,,PFA-REG,,,,,,,
2319,ECE Chicago Find a School scrape.csv, Bateman,4220 N. Richmond ,60618,5345055,,,,,,Irving Park,,,,,,,,,,,,,PFA-REG,,,,,,,
2320,ECE Chicago Find a School scrape.csv, Beard,6445 W. Strong ,60656,5341228,,,,,,Norwood Park,,,,,,,,,,,,,PFA-REG,,,,,,,
2321,ECE Chicago Find a School scrape.csv, Beasley,5255 S. State St ,60609,5351230,,,,,,Washington Park,,,,,,,,,,,,,CPC-FD,,,,,,,
2322,ECE Chicago Find a School scrape.csv, Beaubien,5025 N. Laramie ,60630,5343500,,,,,,Jefferson Park,,,,,,,,,,,,,PFA-REG TS,,,,,,,
2323,ECE Chicago Find a School scrape.csv, Beethoven,4421 S. State St. ,60609,5351480,,,,,,Fuller Park,,,,,,,,,,,,,HS-FD,,,,,,,
2324,ECE Chicago Find a School scrape.csv, Beidler,3151 W. Walnut ,60612,5346811,,,,,,East Garfield Park,,,,,,,,,,,,,HS-HD,,,,,,,
2325,ECE Chicago Find a School scrape.csv, Belding,4207 W. Irving Park ,60641,5343590,,,,,,Irving Park,,,,,,,,,,,,,PFA-REG,,,,,,,
2326,ECE Chicago Find a School scrape.csv, Belding,4257 N. Tripp ,60641,5343590,,,,,,Irving Park,,,,,,,,,,,,,PFA-REG,,,,,,,
2327,ECE Chicago Find a School scrape.csv, Belmont-Cragin,6041 W. Diversey  ,60639,5343318,,,,,,Belmont Cragin,,,,,,,,,,,,,PFA-REG TS,,,,,,,
2328,ECE Chicago Find a School scrape.csv, Bennett,10115 S. Prairie ,60628,5355460,,,,,,Roseland,,,,,,,,,,,,,PFA-REG,,,,,,,
